timeout_size,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
small,aegean,Aegean,21.156,25.844,3217.663
small,aegean_eo,Aegean+EO,17.160,21.540,1933.425
medium,aegean,Aegean,56.469,70.542,4347.293
medium,aegean_eo,Aegean+EO,55.994,65.631,3719.684
large,aegean,Aegean,101.035,113.487,4650.506
large,aegean_eo,Aegean+EO,92.867,105.570,4265.279
