write_size,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
small,aegean,Aegean,44.444,53.088,5310.466
small,aegean_eo,Aegean+EO,45.784,54.808,5451.484
small,unreplicated,Unreplicated,0.595,0.797,5753.848
medium,aegean,Aegean,46.289,54.589,5138.006
medium,aegean_eo,Aegean+EO,42.373,51.402,4326.796
medium,unreplicated,Unreplicated,0.624,0.830,5926.728
large,aegean,Aegean,40.750,51.597,2177.701
large,aegean_eo,Aegean+EO,40.660,51.620,2017.240
large,unreplicated,Unreplicated,0.760,0.952,5727.776
