response_size,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
small,aegean,Aegean,46.098,55.683,5136.992
small,aegean_eo,Aegean+EO,45.517,53.758,5569.444
small,unreplicated,Unreplicated,0.643,1.565,5807.694
medium,aegean,Aegean,47.963,58.139,3250.321
medium,aegean_eo,Aegean+EO,45.029,55.658,2924.067
medium,unreplicated,Unreplicated,0.894,2.277,3442.124
large,aegean,Aegean,45.175,57.233,577.118
large,aegean_eo,Aegean+EO,44.605,57.279,271.364
large,unreplicated,Unreplicated,3.301,4.216,615.657
