worker_count,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
2,aegean,Aegean,46.194,57.230,1418.542
2,aegean_eo,Aegean+EO,48.388,59.504,1422.348
4,aegean,Aegean,52.658,62.550,2610.562
4,aegean_eo,Aegean+EO,49.146,59.518,2461.933
8,aegean,Aegean,58.236,72.480,3859.675
8,aegean_eo,Aegean+EO,52.056,61.544,3543.973
16,aegean,Aegean,56.845,65.270,4343.227
16,aegean_eo,Aegean+EO,57.454,67.590,3942.914
