depth,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
2,aegean,Aegean,47.240,61.180,4003.151
2,aegean_eo,Aegean+EO,49.785,62.335,4044.936
2,unreplicated,Unreplicated,3.310,6.130,4781.154
3,aegean,Aegean,169.135,196.375,2777.563
3,aegean_eo,Aegean+EO,153.790,201.680,2173.107
3,unreplicated,Unreplicated,5.910,10.950,4944.474
4,aegean,Aegean,487.245,601.990,1448.233
4,aegean_eo,Aegean+EO,491.995,609.920,1452.715
4,unreplicated,Unreplicated,5.880,7.700,4874.431
