width,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
1,aegean,Aegean,49.610,59.370,4346.308
1,aegean_eo,Aegean+EO,43.970,55.260,3922.552
1,unreplicated,Unreplicated,2.880,4.370,4396.342
2,aegean,Aegean,67.455,82.120,3471.656
2,aegean_eo,Aegean+EO,72.960,87.690,3251.675
2,unreplicated,Unreplicated,4.220,5.550,4269.473
3,aegean,Aegean,134.630,151.690,3515.709
3,aegean_eo,Aegean+EO,134.810,159.095,3089.242
3,unreplicated,Unreplicated,5.460,6.860,4336.529
